,RPI,Team,Record,SOS,NC Rec,NC RPI,NC SOS,H,R,N,Q1,Q2,Q3,Q4,RPI Delta
164,158,Santa Clara  West Coast (12-12),26-26,174,14-13,111,133,17-8,9-16,0-2,0-3,1-5,4-11,21-7,-11
165,159,Stony Brook  Coastal Athletic (12-15),24-28,147,12-13,159,199,14-8,8-16,2-4,1-5,4-8,4-9,15-6,-2
166,160,Washington  Pac-12 (10-20),19-31-1,80,9-9-1,132,166,12-10,6-18-1,1-3,2-6-0,5-13-0,3-5-1,9-7-0,-9
167,RPI,Team,Record,SOS,NC Rec,NC RPI,NC SOS,H,R,N,Q1,Q2,Q3,Q4,RPI Delta
168,161,Fairfield  MAAC (20-4),34-24,257,12-18,193,151,20-8,12-14,2-2,1-3,2-4,4-7,27-10,-1
169,162,San Jose State  Mountain West (16-14),24-32,141,6-17,232,91,12-9,10-22,2-1,0-4,3-5,8-11,13-12,+8
170,163,FAU  American Athletic (12-15),28-29,152,14-12,186,220,19-12,7-15,2-2,2-6,1-5,10-11,15-7,+10
171,164,Rice  American Athletic (11-16),23-36,77,11-18,167,46,14-18,8-16,1-2,2-8,2-9,6-8,13-11,+4
172,165,George Washington  Atlantic 10 (13-11),31-26,206,17-13,196,260,21-10,9-14,1-2,0-3,2-4,7-12,22-7,-7
173,166,Kent State  Mid-American (17-13),26-26,204,9-11,88,68,13-7,13-17,0-2,1-7,1-2,7-6,17-11,-11
174,167,North Carolina A&T  Coastal Athletic (9-17),25-28,166,16-11,177,282,14-11,9-16,2-1,2-4,4-9,4-7,15-8,-4
175,168,Morehead State  Ohio Valley (17-10),37-24,279,16-12,214,300,19-7,14-15,4-2,0-5,0-1,9-6,28-12,+21
176,169,Belmont  Missouri Valley (12-15),26-32,135,13-15,170,154,14-15,11-13,1-4,2-10,3-0,5-11,16-11,-10
177,170,Gonzaga  West Coast (14-10),21-32,124,5-20,266,117,11-7,8-23,2-2,1-10,1-6,5-10,14-6,+20
178,171,Utah Valley  Western Athletic (18-12),25-29,186,6-15,183,82,10-10,14-17,1-2,0-0,4-7,10-16,11-6,-5
179,172,ULM  Sun Belt (11-19),25-30,117,14-11,236,266,17-18,8-12,0-0,1-6,4-11,5-7,15-6,-7
180,173,Navy  Patriot League (15-10),28-23,234,11-10,248,291,18-7,10-11,0-5,0-1,0-0,10-13,18-9,-2
181,174,UMBC  America East (14-10),27-25,227,11-13,204,212,19-4,6-19,2-2,0-2,1-6,3-11,23-6,+5
182,175,Elon  Coastal Athletic (10-17),21-32,68,11-15,187,63,17-18,4-14,0-0,1-10,2-4,3-8,15-10,-1
183,176,UMass  Atlantic 10 (13-11),24-29,197,11-16,218,253,11-4,12-18,1-7,1-4,1-2,9-16,13-7,-14
184,177,Princeton  Ivy League (12-9),18-26,157,5-15,117,7,7-8,10-16,1-2,1-5,2-5,3-5,12-11,+5
185,178,Seton Hall  Big East (7-14),24-30,156,17-16,178,231,9-17,13-12,2-1,1-2,7-8,8-8,8-12,-3
186,179,UCLA  Pac-12 (9-21),19-33,71,10-12,152,113,15-11,4-20,0-2,1-12,0-8,6-10,12-3,-3
187,180,Penn  Ivy League (11-10),24-23,248,9-12,149,150,10-6,10-16,4-1,1-2,1-2,4-10,18-9,+11
188,RPI,Team,Record,SOS,NC Rec,NC RPI,NC SOS,H,R,N,Q1,Q2,Q3,Q4,RPI Delta
189,181,Miami (OH)  Mid-American (17-13),27-27,193,9-12,123,59,14-13,11-12,2-2,0-6,1-0,10-10,16-11,-9
190,182,Bucknell  Patriot League (12-13),22-24,200,9-9,168,235,12-6,6-16,4-2,0-1,0-3,3-12,19-8,+3
191,183,UAB  American Athletic (13-14),26-29,178,13-13,240,259,16-12,10-15,0-2,1-5,1-3,11-15,13-6,-16
192,184,Monmouth  Coastal Athletic (11-16),18-30,144,7-14,227,213,8-5,9-22,1-3,0-6,0-4,10-17,8-3,+4
193,185,Fresno State  Mountain West (16-14),32-27,255,13-12,213,275,16-11,13-15,3-1,0-0,2-5,13-11,17-11,+16
194,186,Northwestern State  Southland (11-13),20-33,93,9-18,225,73,12-13,6-16,2-4,0-5,6-7,4-9,10-12,-8
195,187,Long Beach State  Big West (10-20),25-29-1,171,15-9-1,157,278,18-11-1,7-18,0-0,0-3-0,3-12-0,4-7-0,18-7-1,+13
196,188,Nevada  Mountain West (16-14),25-26,239,9-12,224,272,12-8,13-18,0-0,1-1,2-4,5-12,17-9,-5
197,189,UTA  Western Athletic (16-14),22-34,136,6-19,171,14,11-13,11-20,0-1,0-6,5-7,8-13,9-8,-9
198,190,Marshall  Sun Belt (9-21),18-37,55,9-16,207,78,14-12,3-21,1-4,1-19,2-6,2-4,13-8,-3
199,191,Presbyterian College  Big South (18-6),29-27,210,11-19,278,224,20-11,8-12,1-4,0-6,0-1,10-9,19-11,-10
200,192,Charleston Southern  Big South (12-12),22-32,119,9-18,197,33,12-18,9-12,1-2,2-1,2-8,6-13,12-10,+4
201,193,Washington State  Pac-12 (9-21),21-32,129,12-11,208,269,11-14,8-17,2-1,2-10,2-0,8-16,9-6,
202,194,Fordham  Atlantic 10 (10-14),19-33,107,9-19,216,89,11-11,7-19,1-3,0-6,1-4,10-14,8-9,+5
203,195,Incarnate Word  Southland (10-14),26-31,176,15-15,215,254,17-10,7-18,2-3,0-2,4-6,6-13,16-10,+3
204,196,Long Island  Northeast (24-9),33-23,292,5-13,285,294,20-4,9-18,4-1,0-2,1-2,5-9,27-10,+30
205,197,Toledo  Mid-American (16-14),27-32,229,9-16,201,206,11-8,14-22,2-2,0-0,2-9,5-12,20-11,+10
206,198,Butler  Big East (5-16),20-35,121,15-19,181,196,5-18,13-14,2-3,2-6,1-10,6-9,11-10,-3
207,199,Oakland  Horizon League (18-12),29-27,277,11-13,176,252,12-5,17-20,0-2,0-0,2-5,3-10,24-12,-22
208,200,Jacksonville State  Conference USA (5-19),18-34,85,13-15,146,110,11-17,7-17,0-0,2-6,3-8,1-9,12-11,-8
209,RPI,Team,Record,SOS,NC Rec,NC RPI,NC SOS,H,R,N,Q1,Q2,Q3,Q4,RPI Delta
210,201,New Mexico  Mountain West (17-13),27-26,222,10-11,226,205,17-10,8-12,2-4,1-2,2-2,5-13,19-9,-17
211,202,Memphis  American Athletic (10-17),23-32,149,13-15,231,204,13-17,10-15,0-0,0-6,3-1,9-14,11-11,-5
212,203,UTRGV  Western Athletic (15-15),29-25,251,12-8,161,228,17-12,10-11,2-2,1-1,0-1,8-9,20-14,
213,204,Saint Thomas  The Summit League (16-10),21-24,263,5-14,175,72,5-4,14-16,2-4,0-0,0-7,6-9,15-8,+2
214,205,Merrimack  Northeast (22-11),33-26,285,8-13,246,226,15-7,15-14,3-5,0-1,1-5,3-6,29-14,+10
215,206,UMass-Lowell  America East (11-12),24-31,224,12-17,125,137,8-9,15-20,1-2,0-3,3-10,6-5,15-13,-4
216,207,Central Arkansas  ASUN (12-18),26-30,196,11-11,129,112,13-14,9-14,4-2,1-3,0-6,4-6,21-15,+13
217,208,Florida A&M  SWAC (22-8),29-27,247,5-17,261,66,13-13,11-10,5-4,0-6,0-2,3-5,26-14,
218,209,Jacksonville  ASUN (18-12),27-31,190,7-17,252,75,17-13,8-16,2-2,1-5,0-1,9-14,17-11,-5
219,210,Northern Illinois  Mid-American (14-16),21-33,202,7-17,188,115,7-7,13-25,1-1,0-5,1-6,5-10,15-12,-5
220,211,Villanova  Big East (8-13),18-33,172,10-20,262,281,5-9,13-23,0-1,3-10,0-0,8-18,7-5,-1
221,212,Cornell  Ivy League (11-10),17-21,236,4-9,120,71,7-5,8-14,2-2,1-7,0-0,4-5,12-9,-18
222,213,Longwood  Big South (10-14),23-29,216,13-15,173,215,13-9,10-20,0-0,0-6,2-5,7-9,14-9,+3
223,214,Richmond  Atlantic 10 (13-11),27-32,180,11-19,279,217,17-17,7-13,3-2,0-2,0-3,10-12,17-15,+19
224,215,Wagner  Northeast (21-12),26-30,244,4-16,242,36,14-8,11-20,1-2,0-10,0-1,1-6,25-13,-3
225,216,Arkansas State  Sun Belt (7-22-1),21-32-1,153,14-10,210,295,15-12-1,6-20,0-0,2-6-0,2-8-0,3-15-1,14-3-0,-5
226,217,Southern Indiana  Ohio Valley (14-13),27-32,218,11-17,198,171,16-10,9-18,2-4,1-3,1-7,4-11,21-11,+1
227,218,Sacramento State  Western Athletic (14-16),26-31,201,12-14,169,127,13-18,12-12,1-1,2-3,3-3,5-6,16-19,-5
228,219,Loyola-Marymount  West Coast (9-15),24-30,188,15-15,174,194,17-11,6-18,1-1,1-5,1-4,8-10,14-11,-5
229,220,Texas A&M-Corpus Christi  Southland (10-14),21-35,138,11-19,250,181,9-19,10-13,2-3,1-3,1-4,10-13,9-15,-11
230,RPI,Team,Record,SOS,NC Rec,NC RPI,NC SOS,H,R,N,Q1,Q2,Q3,Q4,RPI Delta
231,221,Gardner-Webb  Big South (9-15),22-31,160,13-16,163,96,15-16,7-15,0-0,0-6,3-5,5-6,14-14,-4
232,222,Lehigh  Patriot League (9-16),23-23-1,273,14-7-1,166,303,9-8,12-14-1,2-1,0-0-0,0-0-0,7-12-0,16-11-1,+2
233,223,Saint Bonaventure  Atlantic 10 (8-16),18-31,194,10-15,190,246,8-7,10-24,0-0,1-3,1-2,6-18,10-8,-1
234,224,Bethune-Cookman  SWAC (19-10),32-27,272,10-15,269,250,20-11,9-14,3-2,0-2,1-2,5-7,26-16,+10
235,225,UNC Asheville  Big South (10-14),22-28,177,12-14,199,132,19-11,3-17,0-0,0-5,0-7,3-6,19-10,-2
236,226,Middle Tennessee  Conference USA (8-16),20-36,132,12-18,257,241,11-18,9-16,0-2,2-8,0-4,5-7,13-17,-7
237,227,NJIT  America East (12-11),26-28,278,12-15,244,296,13-5,11-21,2-2,0-0,0-4,6-8,20-16,+2
238,228,Lipscomb  ASUN (15-15),22-34,184,6-17,228,42,12-14,9-18,1-2,1-9,1-8,4-2,16-15,-7
239,229,Davidson  Atlantic 10 (10-14),24-28,219,14-14,256,286,18-12,5-16,1-0,0-2,0-6,5-8,19-12,+2
240,230,UNLV  Mountain West (12-18),26-26,268,14-8,194,298,16-11,10-14,0-1,0-0,0-3,6-12,20-11,-3
241,231,The Citadel  Southern (3-18),21-32,150,18-13,229,265,16-18,5-13,0-1,0-9,2-3,4-12,15-8,-6
242,232,Texas Southern  SWAC (18-6),21-25,286,2-17,273,49,8-2,10-20,3-3,0-4,0-7,0-8,20-7,+4
243,233,George Mason  Atlantic 10 (7-17),21-32,168,14-15,237,233,17-10,3-17,1-5,1-3,0-5,4-15,16-9,-5
244,234,Grambling State  SWAC (18-8),25-26,274,2-17,265,27,9-7,9-12,7-7,0-3,0-4,2-4,24-14,+28
245,235,San Diego State  Mountain West (10-20),17-37,106,7-17,172,17,13-14,4-23,0-0,0-4,1-9,4-15,12-9,-3
246,236,Houston Christian  Southland (9-15),18-31,182,9-16,271,256,10-9,6-19,2-3,1-2,1-6,4-19,12-4,-1
247,237,Cal State Fullerton  Big West (7-23),16-38,97,9-15,238,136,11-18,4-18,1-2,0-6,1-5,4-17,11-10,+3
248,238,Jackson State  SWAC (16-12),32-20,304,13-6,41,90,17-7,9-9,6-4,0-2,0-0,2-6,30-12,+13
249,239,North Dakota State  The Summit League (14-12-1),19-30-1,254,4-16,140,15,6-8-1,12-20,1-2,0-10-0,1-3-0,1-2-0,17-15-1,-9
250,240,Winthrop  Big South (8-15),19-29-1,179,11-14-1,223,148,15-13,4-15-1,0-1,0-5-1,1-1-0,5-17-0,13-6-0,+1
251,RPI,Team,Record,SOS,NC Rec,NC RPI,NC SOS,H,R,N,Q1,Q2,Q3,Q4,RPI Delta
252,241,Fairleigh Dickinson  Northeast (18-14),26-30,284,7-14,249,237,14-5,11-23,1-2,1-6,0-1,3-10,22-13,+3
253,242,Valparaiso  Missouri Valley (6-21),14-38,134,8-17,192,193,6-10,8-27,0-1,0-7,1-9,6-13,7-9,-4
254,243,Towson  Coastal Athletic (5-20),15-39,92,10-19,220,101,11-16,3-22,1-1,0-10,2-7,1-11,12-11,+3
255,244,Lafayette  Patriot League (8-16),14-35,130,6-19,234,95,9-10,5-25,0-0,0-10,0-2,4-13,10-10,+1
256,245,Binghamton  America East (10-14),21-29,259,11-14,212,248,12-8,8-20,1-1,0-3,2-7,5-7,14-12,-8
257,246,Tennessee Tech  Ohio Valley (13-14),29-26,280,16-11,235,287,22-13,7-12,0-1,0-2,0-2,3-5,26-17,-7
258,247,Purdue Fort Wayne  Horizon League (11-19),19-37,214,7-16,127,45,7-10,11-25,1-2,1-0,4-15,3-7,11-15,-5
259,248,Quinnipiac  MAAC (10-14),20-30,261,10-16,191,197,13-5,7-25,0-0,0-0,0-10,5-9,15-11,+1
260,249,Stonehill  Northeast (13-17),18-29,262,5-12,243,216,8-7,10-22,0-0,0-0,2-2,3-12,13-15,+4
261,250,Ohio  Mid-American (13-17),18-32,217,5-15,259,138,10-12,8-20,0-0,0-0,1-11,5-8,12-13,+2
262,251,Marist  MAAC (10-14),20-35,260,8-19,251,225,5-10,13-23,2-2,1-2,0-1,5-12,14-20,+10
263,252,Canisius  MAAC (11-13),18-30,265,7-15,189,173,7-7,11-21,0-2,0-1,2-6,5-8,11-15,-9
264,253,North Florida  ASUN (11-17-1),21-30-1,235,10-13,203,130,13-17,8-13-1,0-0,0-4-0,1-4-0,4-6-0,16-16-1,+2
265,254,Prairie View A&M  SWAC (18-9),26-25,301,8-14,180,145,12-5,8-18,6-2,0-2,0-6,2-7,24-10,-7
266,255,SIUE  Ohio Valley (12-15),20-34-1,237,7-18-1,267,203,11-11-1,8-22,1-1,1-3-0,3-3-0,1-11-0,15-17-1,+3
267,256,Radford  Big South (7-16),16-34,165,9-18,239,122,12-13,4-21,0-0,0-8,1-3,4-14,11-9,-2
268,257,Eastern Illinois  Ohio Valley (13-14),20-32,258,7-17,276,234,8-11,12-20,0-1,0-1,0-3,4-12,16-16,-7
269,258,Le Moyne  Northeast (15-17),22-27-1,294,7-10-1,206,279,10-5-1,12-22,0-0,0-0-0,2-2-0,4-11-0,16-14-1,-1
270,259,Bradley  Missouri Valley (6-21),12-37-1,167,6-16-1,270,255,1-12,7-24-1,4-1,0-4-0,1-7-0,4-17-0,7-9-1,-3
271,260,Eastern Kentucky  ASUN (14-16),21-37,209,7-19,255,105,13-17,8-18,0-2,0-8,0-1,7-11,14-17,-12
272,RPI,Team,Record,SOS,NC Rec,NC RPI,NC SOS,H,R,N,Q1,Q2,Q3,Q4,RPI Delta
273,261,Alabama State  SWAC (18-12),29-27,296,10-13,288,304,15-11,12-12,2-4,1-3,0-2,5-7,23-15,-2
274,262,UC Riverside  Big West (6-24),16-36,146,10-12,268,258,12-19,4-17,0-0,0-3,0-6,4-13,12-14,+9
275,263,South Dakota State  The Summit League (11-17),19-29,289,8-12,109,164,4-7,14-18,1-4,1-1,0-2,6-9,12-17,+1
276,264,Yale  Ivy League (11-10),18-23,287,7-13,275,285,10-8,8-15,0-0,0-0,0-3,7-7,11-13,+1
277,265,Delaware State  Northeast (20-13),22-27,276,2-12,287,128,12-13,10-12,0-2,0-0,0-0,4-9,18-18,-5
278,266,Oral Roberts  The Summit League (13-15-1),27-30-1,281,11-15,233,156,15-17,9-13-1,3-0,1-4-0,1-0-0,4-11-0,21-15-1,+8
279,267,Harvard  Ivy League (9-12),13-26,249,4-14,263,175,4-7,7-17,2-2,0-4,0-3,6-11,7-8,-4
280,268,Akron  Mid-American (10-20),15-39,195,5-19,253,107,3-14,9-22,3-3,1-4,1-11,2-7,11-17,-2
281,269,Manhattan  MAAC (10-14),22-30,297,12-16,182,268,6-8,16-22,0-0,0-6,0-0,5-9,17-15,-2
282,270,San Francisco  West Coast (4-20),21-34,238,17-14,221,270,14-18,7-16,0-0,0-6,1-6,3-5,17-17,
283,271,Pepperdine  West Coast (9-15),15-38,169,6-22,286,184,8-21,7-16,0-1,1-4,1-7,7-11,6-16,+2
284,272,Seattle University  Western Athletic (10-20),16-36,226,6-16,258,198,7-14,9-22,0-0,0-4,0-0,5-20,11-12,-4
285,273,Cal State Bakersfield  Big West (8-22),15-38,164,7-16,294,290,11-15,4-16,0-7,0-7,1-5,3-9,11-17,+5
286,274,Western Illinois  Ohio Valley (8-19),13-37,187,5-18,230,93,5-12,8-22,0-3,0-1,1-5,3-14,9-17,-5
287,275,Milwaukee  Horizon League (13-17),17-36,241,3-17,284,165,10-7,6-27,1-2,0-0,1-7,1-19,15-10,-3
288,276,North Alabama  ASUN (10-19-1),18-35-1,232,8-16,260,168,10-17-1,7-17,1-1,0-2-0,0-4-0,4-13-0,14-16-1,-1
289,277,Central Michigan  Mid-American (8-22),14-38,213,6-16,205,141,5-11,9-25,0-2,1-8,3-6,1-6,9-18,-1
290,278,Mount Saint Mary's  MAAC (13-11),22-34-1,283,7-21-1,295,299,9-13-1,11-19,2-2,0-7-0,0-4-0,0-5-0,22-18-1,+6
291,279,Central Connecticut  Northeast (17-15),18-24,290,1-9,289,185,10-11,8-13,0-0,0-2,0-2,2-4,16-16,-2
292,280,Tennessee-Martin  Ohio Valley (12-15),21-35,266,8-19,291,276,13-14,7-20,1-1,0-1,0-3,5-10,16-21,+1
293,RPI,Team,Record,SOS,NC Rec,NC RPI,NC SOS,H,R,N,Q1,Q2,Q3,Q4,RPI Delta
294,281,Queens  ASUN (10-20),14-41,175,4-21,272,54,8-17,6-23,0-1,0-3,0-6,5-13,9-19,-2
295,282,Northern Colorado  The Summit League (13-16-1),16-38-1,242,1-20,274,23,6-9-1,5-27,5-2,0-8-0,1-3-0,3-11-0,12-16-1,-2
296,283,Dartmouth  Ivy League (7-14),13-25,275,6-11,254,267,4-9,9-16,0-0,0-0,0-4,6-7,7-14,-1
297,284,Youngstown State  Horizon League (9-21),16-44,212,3-21,281,119,6-16,6-26,4-2,0-10,1-5,2-10,13-19,+6
298,285,Brown  Ivy League (6-15),11-28,246,5-13,247,155,4-11,7-17,0-0,0-0,1-4,2-5,8-19,+2
299,286,Utah Tech  Western Athletic (10-20),14-42,189,4-22,282,120,7-20,7-22,0-0,1-2,2-9,2-11,9-20,-1
300,287,Albany  America East (10-13),15-34-1,256,5-20-1,280,200,9-9,6-24-1,0-1,0-6-0,0-4-0,1-8-0,14-16-1,-4
301,288,Lindenwood  Ohio Valley (9-18),15-38,245,6-20,283,210,7-16,8-22,0-0,0-0,0-6,4-14,11-18,-2
302,289,Eastern Michigan  Mid-American (9-21),14-38,253,5-17,277,230,7-11,7-27,0-0,0-1,2-3,6-23,6-11,
303,290,Omaha  The Summit League (16-13-1),18-32-1,293,2-17,299,274,8-9,10-19-1,0-4,0-2-0,0-2-0,4-9-1,14-19-0,-2
304,291,Southern  SWAC (15-12),19-29,299,4-15,222,22,7-10,10-13,2-6,1-1,0-5,3-5,15-18,
305,292,Iona  MAAC (6-18),12-38,250,6-20,264,177,7-7,5-31,0-0,0-2,0-9,3-14,9-13,+1
306,293,Pacific  West Coast (5-19),11-44,170,6-25,290,186,9-18,2-25,0-1,0-6,0-10,0-9,11-19,-1
307,294,Maine  America East (8-15),10-37,230,2-22,296,209,5-10,4-23,1-4,0-1,1-3,2-20,7-13,
308,295,Bellarmine  ASUN (9-21),10-45,207,1-24,292,111,7-12,3-33,0-0,0-2,0-9,3-18,7-16,
309,296,Siena  MAAC (8-16),12-40,271,4-24,297,284,7-11,5-29,0-0,0-0,0-7,1-18,11-15,
310,297,Stephen F. Austin  Western Athletic (6-24),10-44,252,4-20,300,262,8-16,2-25,0-3,0-2,0-2,2-27,8-13,
311,298,Alabama A&M  SWAC (9-20),10-38,291,1-18,302,249,5-13,5-25,0-0,0-1,0-0,2-15,8-22,
312,299,Coppin State  Northeast (11-21),12-33,298,1-12,305,302,8-13,4-20,0-0,0-0,0-0,1-11,11-22,
313,300,Saint Peter's  MAAC (6-18),12-40,303,6-22,301,305,6-9,6-31,0-0,0-0,0-0,1-18,11-22,
314,RPI,Team,Record,SOS,NC Rec,NC RPI,NC SOS,H,R,N,Q1,Q2,Q3,Q4,RPI Delta
315,301,Norfolk State  Northeast (7-26),12-41,300,5-15,303,301,7-26,5-15,0-0,0-1,0-1,1-11,11-28,
316,302,Mississippi Valley State  SWAC (4-26),7-32,295,3-6,179,139,2-12,5-20,0-0,0-0,0-1,2-13,6-17,
317,303,Alcorn State  SWAC (5-25),6-42,302,1-17,293,143,3-12,3-27,0-3,0-1,0-3,0-16,6-22,
318,304,Maryland Eastern Shore  Northeast (0-30),0-48,282,0-18,304,240,0-14,0-34,0-0,0-0,0-0,0-16,0-32,
319,305,Arkansas-Pine Bluff  SWAC (6-20),9-34,305,3-14,298,244,6-19,3-14,0-1,0-1,0-0,0-7,8-27,
